OID_,_FID,Shape_Leng,fclass,_OID,HOP,POD,DIS_BUS,DIS_MTR,POI_COM,POI_SHOP,POI_SCE,POI_EDU,POI_MED,PR,TD,OPEN,CAR,GREN,ENCL,WAL,IMA,COMP,PM2_5,PM10,CO,TD_label
118,118.0,144.535,residential,118.0,10200.0,44.14814814814815,118.53067776529493,5698.010062027182,0.0,3.0,0.0,2.0,0.0,0.322934252741224,0.0,0.34406583854975,0.01843077877918,0.47554494099425,0.69184881458425,0.127066559815825,0.0013479209808,1.4988962352225,1.378599010224033,2.858337166283893,0.034460752070266,none
119,119.0,79.2532,residential,119.0,10200.0,51.26086956521739,55.36751157725228,5670.42116884828,0.0,3.0,0.0,2.0,0.0,0.381924148568803,0.0,0.41939296492625,0.005067756377083,0.37932687782375,0.64416315393275,0.27776211742935,0.004761753312087,1.493319360115,1.378580134367781,2.858377657116719,0.03446054569475,none
120,120.0,142.461,residential,120.0,6272.0,70.5,524.2916770699485,5564.586605955354,3.0,53.0,0.0,15.0,1.0,0.868226547191043,0.0,0.45324251106,0.002681575913027,0.06283723762236,0.7214602847932,0.2990300824224,0.000916998070405,1.46159416714,1.377864348996425,2.858728050739421,0.034461035792226,none
121,121.0,31.2444,residential,121.0,6272.0,83.04545454545455,538.9041297919659,5508.577469392245,3.0,41.0,0.0,13.0,1.0,1.03611951670378,0.0,0.539634122427,0.005855943304457,0.0492595381526,0.665166169312333,0.146366162090533,0.001174988038089,1.359711952316667,1.377864348996425,2.858728050739421,0.034461035792226,none
122,122.0,102.592,residential,122.0,10200.0,76.04166666666667,249.94700776980287,5601.771824376434,1.0,52.0,0.0,14.0,1.0,0.695602408568835,0.0,0.54789991755253,0.020222687971068,0.147442239361277,0.562723329137315,0.140033516317497,0.000674876443913,1.369471701947078,1.37828490966063,2.858635433319639,0.034459953061238,none
123,123.0,355.804,residential,123.0,10200.0,61.2,382.6517699372464,5669.677977849692,2.0,59.0,0.0,16.0,1.0,0.608378038499339,0.0,0.575994231262626,0.024992684055212,0.062995539785031,0.572051482159086,0.226492652827578,0.001968509712053,1.370516631247509,1.37828490966063,2.858635433319639,0.034459953061238,none
124,124.0,105.184,residential,124.0,10200.0,73.60714285714286,105.35332023300758,5625.501925280993,0.0,13.0,0.0,5.0,0.0,0.532576712473519,0.0,0.539896402014,2.5737716491e-05,0.0266275061182,0.637437228496,0.000632795358712,0.00177590243788,1.41031502264,1.37840675863469,2.858585211464007,0.034459803484539,none
125,125.0,101.721,residential,125.0,10200.0,64.57692307692308,178.52209457468862,5613.460720050414,0.0,15.0,0.0,6.0,0.0,0.516487359246581,0.0,0.552611588925187,0.013452974137261,0.111333651403736,0.576951950680364,0.104771395509322,0.000934295023342,1.367289558518235,1.37840675863469,2.858585211464007,0.034459803484539,none
126,126.0,400.777,residential,126.0,5370.999999999999,4.692307692307693,323.075052221549,6174.874536089577,0.0,0.0,0.0,0.0,0.0,0.028827610574076,0.0,0.7203575042355,0.001456387071724,0.1079344232401,0.164330802982,0.0567933651696,0.000787390283792,0.967484708789,1.379502112951322,2.85709309010046,0.034465761611841,none
127,127.0,162.496,residential,127.0,14094.0,15.888888888888888,327.3812464915374,5156.550435884799,0.0,2.0,0.0,0.0,0.0,0.479119080374649,0.0,0.428565825803,0.000746638899348,0.297974858417833,0.77244975574,0.04526094387584,0.000397157477567,1.465241634133333,1.381100715656936,2.850055109985601,0.034508564163617,none
